번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
10481.0,11,2018.0,정면,단어,KETI_SL_0000010481,0
10482.0,11,2018.0,정면,단어,KETI_SL_0000010482,1
10483.0,11,2018.0,정면,단어,KETI_SL_0000010483,2
10484.0,11,2018.0,정면,단어,KETI_SL_0000010484,3
10485.0,11,2018.0,정면,단어,KETI_SL_0000010485,4
10486.0,11,2018.0,정면,단어,KETI_SL_0000010486,5
10487.0,11,2018.0,정면,단어,KETI_SL_0000010487,6
10488.0,11,2018.0,정면,단어,KETI_SL_0000010488,7
10489.0,11,2018.0,정면,단어,KETI_SL_0000010489,8
10490.0,11,2018.0,정면,단어,KETI_SL_0000010490,9
10491.0,11,2018.0,정면,단어,KETI_SL_0000010491,10
10492.0,11,2018.0,정면,단어,KETI_SL_0000010492,11
10493.0,11,2018.0,정면,단어,KETI_SL_0000010493,12
10494.0,11,2018.0,정면,단어,KETI_SL_0000010494,13
10495.0,11,2018.0,정면,단어,KETI_SL_0000010495,14
10496.0,11,2018.0,정면,단어,KETI_SL_0000010496,15
10497.0,11,2018.0,정면,단어,KETI_SL_0000010497,16
10498.0,11,2018.0,정면,단어,KETI_SL_0000010498,17
10499.0,11,2018.0,정면,단어,KETI_SL_0000010499,18
10500.0,11,2018.0,정면,단어,KETI_SL_0000010500,19
10501.0,11,2018.0,정면,단어,KETI_SL_0000010501,20
10502.0,11,2018.0,정면,단어,KETI_SL_0000010502,21
10503.0,11,2018.0,정면,단어,KETI_SL_0000010503,22
10504.0,11,2018.0,정면,단어,KETI_SL_0000010504,23
10505.0,11,2018.0,정면,단어,KETI_SL_0000010505,24
10506.0,11,2018.0,정면,단어,KETI_SL_0000010506,25
10507.0,11,2018.0,정면,단어,KETI_SL_0000010507,26
10508.0,11,2018.0,정면,단어,KETI_SL_0000010508,27
10509.0,11,2018.0,정면,단어,KETI_SL_0000010509,28
10510.0,11,2018.0,정면,단어,KETI_SL_0000010510,29
10511.0,11,2018.0,정면,단어,KETI_SL_0000010511,30
10512.0,11,2018.0,정면,단어,KETI_SL_0000010512,31
10513.0,11,2018.0,정면,단어,KETI_SL_0000010513,32
10514.0,11,2018.0,정면,단어,KETI_SL_0000010514,33
10515.0,11,2018.0,정면,단어,KETI_SL_0000010515,34
10516.0,11,2018.0,정면,단어,KETI_SL_0000010516,35
10517.0,11,2018.0,정면,단어,KETI_SL_0000010517,36
10518.0,11,2018.0,정면,단어,KETI_SL_0000010518,37
10519.0,11,2018.0,정면,단어,KETI_SL_0000010519,38
10520.0,11,2018.0,정면,단어,KETI_SL_0000010520,39
10521.0,11,2018.0,정면,단어,KETI_SL_0000010521,40
10522.0,11,2018.0,정면,단어,KETI_SL_0000010522,41
10523.0,11,2018.0,정면,단어,KETI_SL_0000010523,42
10524.0,11,2018.0,정면,단어,KETI_SL_0000010524,43
10525.0,11,2018.0,정면,단어,KETI_SL_0000010525,44
10526.0,11,2018.0,정면,단어,KETI_SL_0000010526,45
10527.0,11,2018.0,정면,단어,KETI_SL_0000010527,46
10528.0,11,2018.0,정면,단어,KETI_SL_0000010528,47
10529.0,11,2018.0,정면,단어,KETI_SL_0000010529,48
10530.0,11,2018.0,정면,단어,KETI_SL_0000010530,49
10531.0,11,2018.0,정면,단어,KETI_SL_0000010531,50
10532.0,11,2018.0,정면,단어,KETI_SL_0000010532,51
10533.0,11,2018.0,정면,단어,KETI_SL_0000010533,52
10534.0,11,2018.0,정면,단어,KETI_SL_0000010534,53
10535.0,11,2018.0,정면,단어,KETI_SL_0000010535,54
10536.0,11,2018.0,정면,단어,KETI_SL_0000010536,55
10537.0,11,2018.0,정면,단어,KETI_SL_0000010537,56
10538.0,11,2018.0,정면,단어,KETI_SL_0000010538,57
10539.0,11,2018.0,정면,단어,KETI_SL_0000010539,58
10540.0,11,2018.0,정면,단어,KETI_SL_0000010540,59
10541.0,11,2018.0,정면,단어,KETI_SL_0000010541,60
