"통계분류(1)",통계분류(2),2017,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),사례수,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다,모름/무응답,계
"전체",소계,500,1.4,3.7,11.5,25.1,55.4,2.8,100
"성별",남자,275,2.2,2.5,13.1,25.8,53.8,2.5,100
"성별",여자,224,0.4,4.9,9.4,24.6,57.6,3.1,100
"연령별",20~29세,31,0,9.7,19.4,35.5,35.5,0,100
"연령별",30~39세,46,0,4.3,6.5,15.2,73.9,0,100
"연령별",40~49세,77,0,2.6,9.1,28.6,59.7,0,100
"연령별",50~59세,151,2.6,3.3,7.9,24.5,60.3,1.3,100
"연령별",60세 이상,189,1.6,4.2,14.8,23.3,49.7,6.3,100
"연령별",모름/무응답,5,0,0,40,60,0,0,100
"교육수준별",무학,89,0,10.1,9,24.7,52.8,3.4,100
"교육수준별",초등학교 졸,92,4.3,3.3,12,28.3,51.1,1.1,100
"교육수준별",중학교 졸,83,0,0,14.5,24.1,55.4,6,100
"교육수준별",고등학교 졸,166,1.8,3.6,14.5,24.7,53.6,1.8,100
"교육수준별",대학교 졸 이상,65,0,1.5,3.1,24.6,70.8,0,100
"교육수준별",모름/무응답,5,0,0,0,0,60,40,100
"교육환경별",일반 학교에서 농학교로 전학,49,0,2,12.2,30.6,55.1,0,100
"교육환경별",농학교에서 일반 학교로 전학,25,4,8,4,44,40,0,100
"교육환경별",농학교만 다님,241,0.4,0.4,7.9,20.7,69.3,1.2,100
"교육환경별",일반 학교만 다님,90,3.3,6.7,22.2,28.9,28.9,10,100
"교육환경별",기타,60,1.7,10,11.7,25,51.7,0,100
"교육환경별",모름/무응답,35,2.9,5.7,14.3,22.9,45.7,8.6,100
"결혼상태별",미혼,72,1.4,5.6,12.5,31.9,45.8,2.8,100
"결혼상태별",기혼,352,0.6,3.7,10.5,23.3,59.9,2,100
"결혼상태별",이혼/사별/기타,72,5.6,1.4,15.3,26.4,43.1,8.3,100
"결혼상태별",모름/무응답,5,0,0,0,40,60,0,100
"장애유형별",청각장애,354,1.4,3.7,11.9,26.8,52.3,4,100
"장애유형별",언어장애,5,0,0,0,100,0,0,100
"장애유형별",청각·언어장애,134,1.5,3.7,10.4,17.9,66.4,0,100
"장애유형별",청각·기타,5,0,0,40,40,20,0,100
"장애유형별",모름/무응답,2,0,0,0,0,100,0,100
"장애등급별",1급,92,0,3.3,12,26.1,58.7,0,100
"장애등급별",2급,348,1.4,4,8.3,25,59.2,2,100
"장애등급별",3급 이상,61,3.3,3.3,29.5,24.6,27.9,11.5,100
"장애발생시기별",선천적,127,0.8,2.4,11.8,26,57.5,1.6,100
"장애발생시기별",후천적,371,1.6,3.8,11.6,24.5,55,3.5,100
"장애발생시기별",모름/무응답,2,0,50,0,50,0,0,100
"장애발생원인별",유전,18,5.6,0,16.7,33.3,44.4,0,100
"장애발생원인별",질병,257,1.6,2.7,9.7,23,61.9,1.2,100
"장애발생원인별",의료사고,12,0,0,8.3,33.3,41.7,16.7,100
"장애발생원인별",원인불명,135,1.5,5.2,13.3,25.9,48.1,5.9,100
"장애발생원인별",기타,67,0,4.5,13.4,28.4,50.7,3,100
"장애발생원인별",모름/무응답,11,0,9.1,18.2,18.2,54.5,0,100
"사용하는재활기구별",보청기,180,1.7,3.9,10.6,25,52.2,6.7,100
"사용하는재활기구별",인공와우,16,12.5,6.3,31.3,25,25,0,100
"사용하는재활기구별",사용안함,303,0.7,3.6,11.2,25.1,58.7,0.7,100
"사용하는재활기구별",모름/무응답,3,0,0,0,33.3,33.3,33.3,100
"거주지역별",대도시,202,1,2,9.9,24.3,57.4,5.4,100
"거주지역별",중소도시,170,0.6,2.4,12.4,27.6,57.1,0,100
"거주지역별",농어촌,128,3.1,7.8,13.3,23.4,50,2.3,100
