Base=전체,사례 수(명),전혀 이해하지 못한다,거의 이해하지 못한다,어느 정도 이해한다,거의 이해한다,모두 이해한다,모름/무응답,계
전체,500,27.9,23.7,33.3,9.1,5.0,0.7,100.0
20-29세,31,9.7,32.3,45.2,9.7,3.2,0.0,100.0
30-39세,47,17.0,25.5,44.7,8.5,4.3,0.0,100.0
40-49세,77,19.5,24.7,40.3,10.4,3.9,1.3,100.0
50-59세,151,35.8,23.8,25.2,7.9,6.6,0.7,100.0
60세,이상,189,30.7,22.8,31.7,9.5,4.8,0.5,100.0
모름/무응답,5,40.0,0.0,60.0,0.0,0.0,0.0,100.0
무학,88,45.5,21.6,23.9,4.5,4.5,0.0,100.0
초등학교,졸,91,39.6,14.3,24.2,16.5,3.3,2.2,100.0
중학교,졸,83,24.1,26.5,36.1,7.2,6.0,0.0,100.0
고등학교,졸,167,19.8,26.9,37.7,11.4,3.6,0.6,100.0
대학교,졸,이상,64,15.6,26.6,45.3,3.1,9.4,0.0,100.0
모름/무응답,5,20.0,60.0,20.0,0.0,0.0,0.0,100.0
