Base=전체,사례 수(명),전혀 이해하지 못한다,거의 이해하지 못한다,어느 정도 이해한다,거의 이해한다,모두 이해한다,모름/무응답,계
전체,500,10.2,6.2,23.5,28.9,30.5,0.7,100.0
20-29세,31,3.2,3.2,9.7,51.6,32.3,0.0,100.0
30-39세,47,0.0,2.1,29.8,29.8,38.3,0.0,100.0
40-49세,77,1.3,3.9,18.2,36.4,39.0,1.3,100.0
50-59세,152,7.9,7.2,24.3,29.6,30.3,0.7,100.0
60세,이상,189,18.5,7.9,24.9,21.7,25.9,1.1,100.0
모름/무응답,6,33.3,0.0,33.3,33.3,0.0,0.0,100.0
무학,89,13.5,10.1,44.9,20.2,11.2,0.0,100.0
초등학교,졸,91,16.5,5.5,23.1,30.8,23.1,1.1,100.0
중학교,졸,85,11.8,7.1,16.5,23.5,40.0,1.2,100.0
고등학교,졸,166,6.6,4.8,22.3,31.9,33.1,1.2,100.0
대학교,졸,이상,65,1.5,4.6,7.7,40.0,46.2,0.0,100.0
모름/무응답,5,40.0,0.0,20.0,0.0,40.0,0.0,100.0
