행정구역별 계(전체) 남자(전체) 여자(전체) 계(전체) 남자(전체) 여자(전체)
전국 2,511,051 1,457,588 1,053,463 271,843 147,749 124,094
서울특별시 391,027 227,271 163,756 41,887 23,273 18,614
부산광역시 168,950 100,326 68,624 15,077 8,455 6,622
대구광역시 117,111 69,090 48,021 12,829 6,803 6,026
인천광역시 135,623 81,961 53,662 13,995 7,693 6,302
광주광역시 68,569 38,538 30,031 8,537 4,526 4,011
대전광역시 71,425 41,767 29,658 7,879 4,305 3,574
울산광역시 49,533 30,082 19,451 6,353 3,788 2,565
세종특별자치시 9,845 5,787 4,058 1,111 587 524
경기도 522,437 311,539 210,898 51,459 28,665 22,794
강원도 98,928 57,623 41,305 11,447 6,280 5,167
충청북도 94,688 54,283 40,405 10,818 5,766 5,052
충청남도 126,406 72,848 53,558 15,059 8,133 6,926
전라북도 130,345 71,020 59,325 14,426 7,747 6,679
전라남도 141,578 75,500 66,078 17,225 9,086 8,139
경상북도 169,643 96,293 73,350 20,767 10,810 9,957
경상남도 180,665 104,838 75,827 18,236 9,601 8,635
제주도 34,278 18,822 15,456 4,738 2,231 2,507
